"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","Institute Type","State"
"National Institute of Technology Durgapur", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "15653", "19956","NIT","West Bengal"
"National Institute of Technology Durgapur", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "7749", "8730","NIT","West Bengal"
"National Institute of Technology Durgapur", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "10337", "10337","NIT","West Bengal"
"National Institute of Technology Durgapur", "Bio Technology (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2998", "3042","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OPEN", "Gender-Neutral", "47970", "47970","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "EWS", "Gender-Neutral", "12855", "12855","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "39099", "39099","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "SC", "Gender-Neutral", "6877", "6877","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OPEN", "Gender-Neutral", "48932", "48932","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OBC-NCL", "Gender-Neutral", "16893", "16893","NIT","West Bengal"
"National Institute of Technology Durgapur", "Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "ST", "Female-only (including Supernumerary)", "4351", "4351","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "24262", "35002","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "34639", "42097","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1307", "1307","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "6592", "7855","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "13001", "13001","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "15697", "21699","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "23181", "24518","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3762", "5817","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6808", "6808","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "4885", "5411","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "11769", "11769","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "32525", "36240","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "30575", "40595","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1837", "1837","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5931", "6239","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "8131", "8131","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "10642", "12224","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "16692", "16692","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "5907", "6648","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "9177", "9177","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "2431", "2484","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2832", "2832","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OPEN", "Female-only (including Supernumerary)", "40643", "40643","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "OBC-NCL", "Gender-Neutral", "21905", "21905","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "HS", "SC", "Gender-Neutral", "6536", "6536","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OPEN", "Gender-Neutral", "32936", "32936","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "EWS", "Female-only (including Supernumerary)", "7318", "7318","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "OBC-NCL", "Gender-Neutral", "11420", "11420","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))", "OS", "ST", "Female-only (including Supernumerary)", "4211", "4211","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "HS", "OPEN", "Gender-Neutral", "54835", "57957","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "HS", "OPEN", "Female-only (including Supernumerary)", "61909", "61909","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "HS", "EWS", "Gender-Neutral", "13804", "13804","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "HS", "OBC-NCL", "Gender-Neutral", "32028", "32370","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "HS", "SC", "Gender-Neutral", "8397", "8397","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "HS", "SC", "Female-only (including Supernumerary)", "11593", "11593","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "OPEN", "Gender-Neutral", "50311", "50911","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "OPEN", "Female-only (including Supernumerary)", "55123", "55123","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "EWS", "Gender-Neutral", "9227", "9227","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "OBC-NCL", "Gender-Neutral", "18147", "18399","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "20399", "20399","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "SC", "Gender-Neutral", "10196", "10196","NIT","West Bengal"
"National Institute of Technology Durgapur", "Chemistry (5 Years, Integrated Master of Science)", "OS", "ST", "Gender-Neutral", "3273", "3273","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "32787", "46723","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "44984", "50455","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "8218", "8752","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "14784", "14784","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "22245", "25134","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "30016", "31447","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3336", "6471","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "8856", "9028","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1098", "3103","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "9091", "9091","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "27972", "42439","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "46257", "49137","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "6760", "6867","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "8448", "8448","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "12024", "13394","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "16507", "19194","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "1108", "1108","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "4026", "6445","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "8003", "8208","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1923", "1965","NIT","West Bengal"
"National Institute of Technology Durgapur", "Civil Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2803", "2803","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "3070", "12851","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "2136", "13339","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "311", "311","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Female-only (including Supernumerary)", "808", "808","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2844", "3980","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "5060", "7985","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS (PwD)", "Gender-Neutral", "93", "93","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "3034", "7327","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "4271", "7953","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "164", "164","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "725", "1452","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "1161", "2745","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "55", "55","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "374", "883","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "1215", "1375","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "6848", "10070","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "9628", "13772","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "172", "172","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1407", "1530","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "2110", "2890","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "2238", "3023","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "5162", "6062","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "83", "83","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "901", "1891","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2398", "3013","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "27", "27","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "351", "458","NIT","West Bengal"
"National Institute of Technology Durgapur", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "621", "910","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16327", "22248","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "24587", "33699","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "228", "228","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4720", "5325","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "12947", "12947","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "8938", "14894","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "18289", "19889","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "1560", "3596","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2878", "3480","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "138", "138","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1491", "2562","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "4881", "4881","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "16330", "21383","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "26444", "32447","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "743", "743","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "3251", "3338","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "5429", "5429","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "6200", "7053","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "11931", "13023","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "756", "756","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "3617", "3899","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4423", "5550","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "986", "1155","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electrical Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "2112", "2112","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "13551", "17902","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "17861", "23480","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Female-only (including Supernumerary)", "1778", "1778","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "4443", "4854","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "10767", "10767","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "7928", "11055","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "11892", "18167","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "1220", "2561","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2528", "2528","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "913", "1345","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "3669", "3669","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "10707", "14893","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "19985", "21056","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "457", "457","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "2184", "2251","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "3318", "3318","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4030", "5130","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "7456", "8847","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2473", "2787","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2952", "3977","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "SC (PwD)", "Gender-Neutral", "67", "67","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "536", "653","NIT","West Bengal"
"National Institute of Technology Durgapur", "Electronics and Communication Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1534", "1534","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "23314", "31028","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "37874", "41428","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Gender-Neutral", "1271", "1271","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN (PwD)", "Female-only (including Supernumerary)", "1866", "1866","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5795", "7120","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "12248", "13853","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "15238", "19949","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "26661", "30071","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "3880", "5198","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "7265", "8359","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "3294", "4554","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "6182", "9364","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "24386", "32121","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "35964", "39284","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "1395", "1395","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "5101", "5279","NIT","West Bengal"
"National Institute of Technology Durgapur", "Mechanical Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "7487", "7752","NIT","West Bengal"
